job_id,role,company,company_type,city,state,degree,graduation_year,skills,primary_skill,experience_required,internship_experience,remote,work_type,salary_lpa,stipend_if_intern,selection_rounds,aptitude_test,coding_test,interview_count,offer_made
JOB_1,Data Scientist,Accenture,Product-Based,Bangalore,Uttar Pradesh,M.Tech,2024,"Linux, Excel, AWS",Java,0,1,0,Full-Time,8.25,8000,4,1,1,3,1
JOB_2,Business Analyst,Accenture,Startup,Delhi,Telangana,BCA,2023,"Power BI, SQL, Java",Machine Learning,0,1,1,Internship,7.75,15000,5,0,1,3,1
JOB_3,Cybersecurity Analyst,Startup,Product-Based,Delhi,Tamil Nadu,B.Tech,2025,"Power BI, Python, Machine Learning",Linux,0,0,1,Internship,8.66,12000,3,0,0,1,1
JOB_4,Data Scientist,TCS,Startup,Hyderabad,Karnataka,B.Sc,2024,"Python, Linux, Java",Machine Learning,0,1,0,Internship,9.59,12000,2,0,0,1,0
JOB_5,Software Engineer,Infosys,Product-Based,Bangalore,Telangana,M.Tech,2024,"Machine Learning, Linux, Python",Python,1,0,0,Full-Time,3.78,8000,5,1,0,1,1
JOB_6,Cloud Engineer,Deloitte,Startup,Noida,Karnataka,B.Com,2023,"Machine Learning, SQL, Python",Power BI,1,0,0,Full-Time,5.78,15000,3,0,1,2,1
JOB_7,Cybersecurity Analyst,Capgemini,Service-Based,Mumbai,Delhi,B.Sc,2024,"Java, AWS, Machine Learning",Power BI,0,0,0,Full-Time,5.29,0,5,0,0,3,0
JOB_8,Software Engineer,Capgemini,Product-Based,Pune,Telangana,B.Tech,2024,"Java, Power BI, SQL",AWS,0,1,0,Full-Time,7.33,12000,4,0,1,2,1
JOB_9,Data Scientist,Wipro,Startup,Pune,Tamil Nadu,BCA,2025,"Java, Python, SQL",AWS,0,0,1,Internship,9.61,10000,5,1,1,3,1
JOB_10,AI/ML Engineer,Startup,Service-Based,Delhi,Telangana,B.Tech,2023,"Machine Learning, Python, SQL",SQL,1,0,0,Internship,10.25,8000,4,1,1,2,1
JOB_11,Business Analyst,TCS,Product-Based,Bangalore,Uttar Pradesh,MCA,2024,"Python, Linux, Power BI",SQL,1,0,1,Internship,3.1,0,5,0,0,1,0
JOB_12,AI/ML Engineer,Capgemini,MNC,Chennai,West Bengal,B.Com,2023,"AWS, Linux, SQL",SQL,0,0,0,Internship,11.82,15000,2,0,0,3,0
JOB_13,Data Analyst,Infosys,MNC,Chennai,Uttar Pradesh,B.Sc,2024,"AWS, Excel, Python",Java,0,0,0,Full-Time,7.16,8000,2,0,1,2,0
JOB_14,Cloud Engineer,Wipro,Startup,Hyderabad,Maharashtra,B.Com,2025,"SQL, Power BI, Python",Java,1,1,1,Internship,6.06,0,5,0,1,1,0
JOB_15,Web Developer,Startup,MNC,Delhi,Delhi,BCA,2023,"SQL, Python, Power BI",SQL,0,1,0,Full-Time,3.91,12000,4,1,1,2,1
JOB_16,Data Scientist,Infosys,Startup,Mumbai,Uttar Pradesh,B.Com,2023,"AWS, Excel, Power BI",Power BI,0,1,0,Full-Time,7.1,15000,3,0,1,3,0
JOB_17,Web Developer,Deloitte,Product-Based,Pune,Karnataka,B.Com,2023,"SQL, Python, Java",Java,0,1,0,Full-Time,4.52,8000,5,0,0,3,0
JOB_18,Cloud Engineer,Cognizant,Service-Based,Mumbai,Karnataka,B.Tech,2024,"AWS, Excel, SQL",AWS,0,1,0,Full-Time,7.62,10000,5,1,0,1,1
JOB_19,Data Analyst,TCS,Startup,Mumbai,Tamil Nadu,B.Tech,2023,"AWS, Java, Excel",Power BI,0,1,1,Internship,5.16,0,4,0,0,3,1
JOB_20,Software Engineer,Accenture,Service-Based,Hyderabad,Telangana,B.Tech,2025,"Power BI, Linux, Java",Power BI,1,1,1,Full-Time,4.46,12000,5,0,1,3,1
JOB_21,AI/ML Engineer,Accenture,Startup,Chennai,Delhi,M.Tech,2025,"SQL, Machine Learning, Java",Python,0,0,1,Full-Time,9.67,10000,3,1,1,1,1
JOB_22,Data Scientist,TCS,MNC,Delhi,West Bengal,BCA,2024,"SQL, Excel, Linux",SQL,0,1,1,Internship,6.84,10000,5,0,0,3,0
JOB_23,Data Scientist,Cognizant,Product-Based,Kolkata,Uttar Pradesh,MCA,2025,"Machine Learning, Excel, Linux",Linux,1,1,0,Internship,7.75,15000,2,0,1,2,0
JOB_24,Cloud Engineer,Deloitte,Product-Based,Mumbai,Uttar Pradesh,M.Tech,2023,"Excel, Power BI, Machine Learning",SQL,0,1,0,Internship,6.83,15000,2,0,1,3,1
JOB_25,Cloud Engineer,TCS,Startup,Bangalore,Uttar Pradesh,M.Tech,2024,"Excel, Linux, Power BI",Machine Learning,1,0,0,Full-Time,7.28,8000,5,0,1,3,1
JOB_26,Data Scientist,Wipro,MNC,Chennai,Maharashtra,BCA,2024,"SQL, Power BI, AWS",Python,0,0,0,Internship,10.71,15000,5,0,1,3,0
JOB_27,Data Scientist,Deloitte,Product-Based,Chennai,Karnataka,M.Tech,2024,"SQL, Machine Learning, Power BI",AWS,1,0,0,Internship,7.2,12000,5,1,1,2,1
JOB_28,AI/ML Engineer,Infosys,Startup,Kolkata,Telangana,BCA,2023,"Python, Java, AWS",Power BI,1,0,0,Full-Time,9.09,12000,2,1,0,3,1
JOB_29,Cloud Engineer,Cognizant,Product-Based,Bangalore,Maharashtra,B.Tech,2024,"AWS, Machine Learning, SQL",SQL,0,1,0,Internship,7.96,0,3,0,0,2,1
JOB_30,Cybersecurity Analyst,TCS,Startup,Noida,Tamil Nadu,B.Sc,2024,"AWS, SQL, Excel",Linux,0,0,0,Full-Time,5.23,0,3,0,1,3,0
JOB_31,Cloud Engineer,Capgemini,MNC,Kolkata,Maharashtra,B.Com,2024,"Linux, Python, Power BI",AWS,1,1,1,Full-Time,8.04,10000,4,0,0,1,1
JOB_32,Data Analyst,Cognizant,MNC,Noida,Telangana,B.Tech,2024,"AWS, Python, Power BI",Python,0,0,0,Internship,3.85,0,3,0,1,2,0
JOB_33,Cloud Engineer,Cognizant,MNC,Bangalore,Maharashtra,MCA,2023,"Machine Learning, Excel, Power BI",Linux,0,0,0,Full-Time,5.33,8000,5,1,1,1,1
JOB_34,Cloud Engineer,Deloitte,Product-Based,Noida,Tamil Nadu,BCA,2023,"SQL, Excel, Linux",AWS,0,1,0,Full-Time,9.74,12000,2,1,1,1,1
JOB_35,AI/ML Engineer,Startup,Product-Based,Kolkata,Maharashtra,B.Tech,2024,"Power BI, AWS, SQL",Excel,0,1,1,Full-Time,11.79,12000,5,1,0,2,0
JOB_36,Data Analyst,Startup,MNC,Chennai,Tamil Nadu,B.Com,2025,"Power BI, Machine Learning, AWS",Python,0,1,0,Full-Time,7.04,0,2,1,1,1,1
JOB_37,AI/ML Engineer,Deloitte,Product-Based,Mumbai,Telangana,B.Sc,2025,"Python, AWS, Excel",Machine Learning,0,0,1,Internship,7.83,12000,4,1,1,2,1
JOB_38,Cybersecurity Analyst,TCS,MNC,Chennai,Karnataka,MCA,2025,"Java, SQL, Excel",Excel,0,0,1,Internship,5.49,10000,5,1,0,2,0
JOB_39,Cloud Engineer,Deloitte,Product-Based,Chennai,Tamil Nadu,B.Sc,2025,"Java, AWS, SQL",Machine Learning,0,0,0,Internship,8.42,15000,5,0,0,1,0
JOB_40,Data Scientist,Startup,Product-Based,Bangalore,Karnataka,B.Tech,2024,"Machine Learning, AWS, Java",Python,0,0,1,Internship,8.64,12000,4,1,1,2,1
JOB_41,Cybersecurity Analyst,Cognizant,Startup,Mumbai,Karnataka,B.Tech,2024,"SQL, AWS, Java",AWS,0,0,1,Internship,5.61,0,5,1,1,3,1
JOB_42,Data Scientist,Capgemini,Startup,Bangalore,West Bengal,B.Sc,2024,"Python, Java, AWS",Python,1,0,0,Full-Time,8.97,0,4,1,1,1,0
JOB_43,Cybersecurity Analyst,Accenture,Service-Based,Kolkata,West Bengal,M.Tech,2023,"Java, Excel, Python",Machine Learning,0,0,1,Internship,5.17,8000,5,0,0,1,0
JOB_44,Data Scientist,Capgemini,Service-Based,Kolkata,Tamil Nadu,B.Tech,2023,"AWS, Java, Python",Excel,1,0,0,Internship,11.46,8000,2,1,0,3,0
JOB_45,Business Analyst,Cognizant,Product-Based,Delhi,Uttar Pradesh,M.Tech,2025,"Python, Power BI, SQL",Java,0,1,1,Internship,4.29,15000,2,0,1,3,0
JOB_46,Data Scientist,Cognizant,Product-Based,Noida,West Bengal,BCA,2024,"Power BI, Excel, Python",Java,1,1,0,Full-Time,9.98,0,2,0,0,1,0
JOB_47,Business Analyst,Startup,Product-Based,Noida,West Bengal,B.Sc,2025,"AWS, Machine Learning, SQL",SQL,0,0,0,Internship,4.56,12000,5,1,1,3,0
JOB_48,Data Analyst,Startup,MNC,Delhi,West Bengal,B.Com,2023,"Linux, Java, AWS",Machine Learning,0,1,0,Full-Time,5.6,0,2,0,0,1,1
JOB_49,Business Analyst,Wipro,Service-Based,Noida,Delhi,B.Sc,2024,"Machine Learning, Excel, Power BI",SQL,1,0,1,Internship,5.73,12000,5,1,0,2,1
JOB_50,Data Scientist,Accenture,Service-Based,Chennai,West Bengal,M.Tech,2024,"Python, Excel, SQL",Python,1,0,0,Full-Time,7.11,10000,2,0,1,3,1
JOB_51,Cybersecurity Analyst,Infosys,Product-Based,Hyderabad,Uttar Pradesh,MCA,2024,"Machine Learning, Java, Python",Power BI,1,0,0,Full-Time,9.85,8000,5,0,1,2,1
JOB_52,Data Analyst,TCS,MNC,Chennai,Tamil Nadu,B.Tech,2025,"Power BI, AWS, Linux",Linux,0,0,0,Full-Time,6.88,15000,3,1,0,1,1
JOB_53,AI/ML Engineer,Deloitte,Startup,Kolkata,Uttar Pradesh,B.Com,2023,"Machine Learning, Java, Power BI",Machine Learning,1,0,0,Full-Time,11.64,8000,3,0,1,2,1
JOB_54,Business Analyst,Capgemini,Startup,Delhi,Uttar Pradesh,B.Tech,2024,"AWS, Excel, Machine Learning",Machine Learning,0,1,1,Internship,7.47,10000,4,0,1,3,0
JOB_55,Business Analyst,Startup,Startup,Kolkata,Maharashtra,MCA,2025,"Linux, Python, Java",Excel,1,1,1,Internship,5.99,12000,3,1,1,3,1
JOB_56,Business Analyst,Accenture,MNC,Chennai,Uttar Pradesh,M.Tech,2024,"Excel, Java, Machine Learning",SQL,1,1,0,Internship,7.61,8000,5,0,1,1,1
JOB_57,Cybersecurity Analyst,Startup,Startup,Mumbai,Maharashtra,BCA,2024,"Linux, Machine Learning, AWS",AWS,0,1,1,Internship,5.44,15000,3,0,0,2,0
JOB_58,Business Analyst,Infosys,Product-Based,Noida,Telangana,B.Tech,2024,"Python, Power BI, AWS",SQL,0,0,0,Internship,3.98,10000,4,0,0,2,1
JOB_59,Web Developer,Infosys,Startup,Chennai,Delhi,B.Com,2025,"Power BI, AWS, Python",Linux,0,0,1,Full-Time,3.23,10000,2,0,1,3,1
JOB_60,Data Analyst,Wipro,Startup,Hyderabad,Delhi,B.Com,2025,"Excel, SQL, Machine Learning",Linux,0,0,1,Full-Time,4.63,8000,2,0,1,2,0
JOB_61,Data Analyst,Startup,Startup,Noida,Tamil Nadu,M.Tech,2025,"Java, SQL, Power BI",Power BI,0,0,0,Full-Time,4.94,8000,2,0,1,3,1
JOB_62,Software Engineer,Startup,MNC,Noida,Uttar Pradesh,M.Tech,2025,"Python, AWS, Linux",AWS,0,1,0,Internship,4.36,12000,5,1,1,2,0
JOB_63,AI/ML Engineer,Wipro,Startup,Hyderabad,Maharashtra,B.Tech,2025,"Power BI, Machine Learning, Linux",Machine Learning,1,1,1,Internship,10.97,0,5,0,1,3,0
JOB_64,AI/ML Engineer,TCS,Startup,Mumbai,West Bengal,B.Sc,2024,"Java, Power BI, Python",AWS,0,1,0,Internship,8.14,0,5,1,1,2,1
JOB_65,Business Analyst,Deloitte,MNC,Delhi,Delhi,M.Tech,2024,"AWS, Python, Excel",Power BI,0,1,0,Full-Time,4.4,15000,2,1,0,1,1
JOB_66,Data Analyst,Capgemini,Startup,Bangalore,Tamil Nadu,M.Tech,2025,"SQL, Machine Learning, Java",SQL,0,1,0,Full-Time,5.71,15000,5,1,0,3,0
JOB_67,Software Engineer,Deloitte,Service-Based,Kolkata,Maharashtra,B.Tech,2023,"Linux, Machine Learning, Python",Java,0,1,0,Internship,3.7,10000,4,1,1,2,0
JOB_68,Cybersecurity Analyst,Deloitte,Startup,Noida,West Bengal,B.Com,2024,"Excel, Power BI, Python",Linux,0,0,0,Full-Time,9.01,8000,4,0,1,3,0
JOB_69,AI/ML Engineer,Wipro,Product-Based,Chennai,Maharashtra,M.Tech,2023,"SQL, Java, Linux",Power BI,0,0,1,Internship,6.45,12000,5,0,1,2,0
JOB_70,Web Developer,Capgemini,Startup,Hyderabad,Tamil Nadu,B.Tech,2025,"Power BI, AWS, SQL",Linux,1,1,0,Full-Time,7.93,12000,4,0,0,1,1
JOB_71,Business Analyst,Capgemini,Service-Based,Kolkata,Karnataka,MCA,2025,"Excel, Java, AWS",Java,0,0,0,Internship,6.86,10000,3,1,1,2,1
JOB_72,AI/ML Engineer,Deloitte,Service-Based,Chennai,Tamil Nadu,BCA,2025,"Excel, Linux, Java",Machine Learning,0,0,0,Internship,7.19,0,3,1,1,1,0
JOB_73,AI/ML Engineer,TCS,Product-Based,Noida,Maharashtra,B.Tech,2023,"Power BI, SQL, Java",Machine Learning,0,1,1,Full-Time,6.03,15000,4,1,1,2,0
JOB_74,Web Developer,Capgemini,Product-Based,Chennai,Telangana,M.Tech,2025,"Java, Excel, Python",SQL,1,0,1,Internship,7.08,0,4,1,1,1,0
JOB_75,Data Analyst,TCS,Service-Based,Pune,Telangana,MCA,2024,"AWS, Machine Learning, Power BI",Linux,1,1,0,Internship,6.53,15000,5,1,1,1,1
JOB_76,Cloud Engineer,Deloitte,Product-Based,Bangalore,Telangana,B.Tech,2025,"Machine Learning, Linux, Power BI",AWS,0,1,0,Full-Time,8.65,15000,3,1,1,3,0
JOB_77,Cybersecurity Analyst,Startup,MNC,Delhi,Tamil Nadu,BCA,2023,"Excel, Python, AWS",SQL,0,1,1,Internship,8.86,8000,5,1,0,2,0
JOB_78,Cloud Engineer,Startup,MNC,Kolkata,Tamil Nadu,B.Sc,2025,"SQL, Power BI, Linux",Python,1,1,1,Internship,5.37,8000,3,1,0,1,0
JOB_79,Web Developer,Accenture,Startup,Mumbai,Uttar Pradesh,BCA,2023,"SQL, Java, Machine Learning",Excel,1,0,0,Internship,4.79,15000,2,0,1,3,0
JOB_80,Cybersecurity Analyst,Startup,Product-Based,Hyderabad,Delhi,B.Sc,2025,"Excel, Power BI, Python",Python,0,1,1,Internship,5.58,15000,5,0,1,2,1
JOB_81,Software Engineer,Capgemini,MNC,Delhi,Telangana,M.Tech,2024,"Excel, Java, AWS",SQL,0,1,0,Full-Time,7.32,15000,2,0,0,3,0
JOB_82,Business Analyst,Capgemini,Product-Based,Delhi,Telangana,B.Com,2024,"Machine Learning, Excel, Python",Java,0,0,1,Full-Time,6.12,15000,2,0,0,2,0
JOB_83,Cloud Engineer,TCS,MNC,Hyderabad,Tamil Nadu,MCA,2024,"AWS, SQL, Python",SQL,0,1,1,Full-Time,6.65,15000,4,0,1,1,1
JOB_84,Web Developer,Infosys,MNC,Kolkata,Telangana,BCA,2023,"Power BI, SQL, Machine Learning",Excel,1,0,1,Internship,3.32,12000,5,0,1,2,1
JOB_85,Cybersecurity Analyst,Capgemini,Product-Based,Mumbai,West Bengal,BCA,2025,"Power BI, Excel, Python",Power BI,0,1,0,Internship,6.55,0,3,1,1,2,1
JOB_86,Cloud Engineer,Cognizant,MNC,Pune,Tamil Nadu,B.Tech,2023,"Java, SQL, Power BI",SQL,0,0,0,Internship,6.63,8000,5,0,1,1,0
JOB_87,Data Scientist,Accenture,Product-Based,Mumbai,Uttar Pradesh,MCA,2023,"Machine Learning, Power BI, Java",Power BI,0,0,1,Internship,10.38,8000,5,0,0,2,0
JOB_88,Cloud Engineer,Startup,Startup,Pune,Karnataka,B.Tech,2024,"Linux, Excel, AWS",Linux,0,0,1,Internship,8.19,0,4,1,1,1,0
JOB_89,Data Analyst,Infosys,Startup,Noida,Delhi,B.Com,2024,"Java, SQL, AWS",Power BI,0,0,0,Internship,7.44,12000,5,0,0,2,1
JOB_90,Web Developer,Infosys,MNC,Noida,West Bengal,M.Tech,2023,"Java, Power BI, AWS",Excel,0,0,1,Full-Time,5.36,15000,4,1,1,1,1
JOB_91,Cloud Engineer,Startup,Startup,Delhi,Maharashtra,M.Tech,2023,"Power BI, Excel, Java",Excel,1,0,1,Full-Time,5.6,10000,2,0,1,1,1
JOB_92,Data Analyst,Accenture,Service-Based,Delhi,Delhi,M.Tech,2024,"Machine Learning, Excel, Java",Java,1,0,1,Internship,6.57,8000,3,0,1,2,1
JOB_93,Business Analyst,Cognizant,Startup,Mumbai,Delhi,M.Tech,2023,"Linux, Python, SQL",Python,0,1,0,Full-Time,6.8,12000,5,0,0,3,0
JOB_94,Cloud Engineer,Cognizant,MNC,Chennai,West Bengal,B.Tech,2024,"Excel, Python, AWS",Power BI,0,1,1,Full-Time,7.81,8000,4,1,0,2,0
JOB_95,AI/ML Engineer,Cognizant,MNC,Kolkata,Delhi,M.Tech,2025,"Java, AWS, Machine Learning",SQL,0,1,0,Full-Time,10.63,12000,3,1,1,1,0
JOB_96,Data Analyst,Capgemini,Startup,Chennai,Karnataka,B.Com,2024,"Excel, Python, Machine Learning",Linux,0,0,0,Internship,5.47,10000,5,0,0,1,0
JOB_97,Web Developer,Cognizant,Product-Based,Noida,Tamil Nadu,B.Tech,2023,"AWS, Excel, SQL",Linux,0,1,0,Internship,5.61,10000,5,0,0,2,1
JOB_98,Business Analyst,Accenture,MNC,Delhi,West Bengal,B.Sc,2025,"Machine Learning, Linux, Power BI",Java,0,0,1,Full-Time,5.14,8000,4,0,0,1,1
JOB_99,Data Scientist,Infosys,MNC,Mumbai,Uttar Pradesh,B.Com,2023,"Python, Machine Learning, Linux",AWS,0,1,0,Full-Time,6.15,8000,5,0,1,3,0
JOB_100,Data Scientist,Deloitte,MNC,Delhi,Uttar Pradesh,M.Tech,2024,"AWS, Linux, SQL",AWS,1,1,0,Full-Time,6.65,10000,2,0,0,1,0
JOB_101,Business Analyst,Wipro,Product-Based,Pune,Delhi,B.Tech,2023,"AWS, Java, Linux",Python,0,1,0,Full-Time,3.16,8000,3,0,0,3,1
JOB_102,Software Engineer,Capgemini,Service-Based,Noida,Tamil Nadu,BCA,2023,"Python, Power BI, SQL",AWS,0,1,0,Internship,6.18,8000,2,1,1,1,1
JOB_103,Business Analyst,Deloitte,MNC,Hyderabad,Karnataka,M.Tech,2024,"Linux, Machine Learning, AWS",Java,0,0,0,Internship,4.57,10000,2,0,0,1,1
JOB_104,Web Developer,Capgemini,Startup,Noida,Telangana,B.Sc,2024,"Excel, Java, SQL",AWS,0,1,0,Internship,5.54,12000,2,1,0,1,0
JOB_105,Data Analyst,Infosys,MNC,Pune,Delhi,B.Tech,2023,"Java, Python, Machine Learning",Java,1,1,0,Internship,7.54,0,3,1,0,3,1
JOB_106,Business Analyst,Wipro,Product-Based,Delhi,West Bengal,B.Sc,2024,"SQL, Linux, Excel",Machine Learning,0,1,1,Internship,4.25,15000,3,0,0,2,0
JOB_107,Data Scientist,Deloitte,Product-Based,Pune,Maharashtra,B.Sc,2023,"Power BI, Java, Excel",Java,0,0,1,Full-Time,8.46,12000,2,0,1,1,1
JOB_108,Data Scientist,Capgemini,MNC,Pune,Tamil Nadu,MCA,2025,"SQL, Linux, Java",Python,1,0,0,Internship,10.53,12000,4,1,1,1,0
JOB_109,Cloud Engineer,Capgemini,MNC,Kolkata,West Bengal,B.Sc,2025,"AWS, Linux, Power BI",Python,0,0,1,Internship,6.14,10000,5,1,0,2,0
JOB_110,Data Analyst,Cognizant,Product-Based,Mumbai,Tamil Nadu,BCA,2023,"Python, Java, AWS",Power BI,1,0,0,Full-Time,3.38,8000,4,0,1,3,1
JOB_111,AI/ML Engineer,Infosys,MNC,Delhi,Uttar Pradesh,BCA,2023,"Excel, Machine Learning, SQL",Machine Learning,1,0,1,Full-Time,7.74,10000,4,0,1,2,0
JOB_112,Data Scientist,Cognizant,Service-Based,Pune,Maharashtra,MCA,2023,"SQL, AWS, Python",Excel,0,1,1,Full-Time,6.97,0,2,0,1,3,1
JOB_113,Cloud Engineer,Deloitte,Product-Based,Bangalore,Maharashtra,B.Com,2023,"Machine Learning, Excel, Power BI",SQL,0,1,0,Internship,9.65,0,2,1,0,3,0
JOB_114,Business Analyst,Infosys,Startup,Bangalore,Uttar Pradesh,B.Com,2024,"Excel, Python, SQL",AWS,0,1,1,Full-Time,7.04,15000,4,0,1,1,1
JOB_115,Data Scientist,Startup,Service-Based,Mumbai,Maharashtra,B.Com,2025,"SQL, Java, AWS",SQL,0,0,1,Internship,9.8,12000,5,1,1,1,0
JOB_116,Cloud Engineer,TCS,Service-Based,Hyderabad,Uttar Pradesh,B.Com,2024,"Power BI, Machine Learning, Linux",Excel,0,0,1,Internship,9.36,0,5,1,0,1,0
JOB_117,AI/ML Engineer,Startup,MNC,Bangalore,Uttar Pradesh,B.Com,2025,"Java, Python, Machine Learning",Machine Learning,0,0,1,Full-Time,10.82,12000,2,0,0,2,1
JOB_118,Cybersecurity Analyst,Wipro,Service-Based,Kolkata,Delhi,BCA,2024,"Linux, Machine Learning, Python",Python,1,1,1,Internship,5.93,12000,3,0,1,3,1
JOB_119,Software Engineer,Infosys,Startup,Mumbai,Uttar Pradesh,MCA,2025,"SQL, Linux, AWS",Python,0,0,0,Internship,7.46,12000,5,0,0,1,0
JOB_120,Web Developer,Capgemini,Product-Based,Hyderabad,Tamil Nadu,B.Tech,2025,"Power BI, Machine Learning, AWS",Power BI,0,1,0,Full-Time,5.7,15000,2,0,0,1,0
JOB_121,Data Scientist,TCS,Startup,Mumbai,Telangana,M.Tech,2024,"Excel, Linux, AWS",Linux,0,0,1,Internship,10.84,12000,4,1,0,1,0
JOB_122,Web Developer,Infosys,Product-Based,Chennai,Delhi,B.Tech,2023,"SQL, AWS, Java",Java,1,0,0,Full-Time,7.48,10000,3,1,1,1,1
JOB_123,Cybersecurity Analyst,Infosys,MNC,Noida,Tamil Nadu,B.Sc,2023,"Linux, Machine Learning, AWS",Machine Learning,0,1,1,Internship,6.59,8000,2,0,1,1,0
JOB_124,Business Analyst,Capgemini,Product-Based,Mumbai,Delhi,B.Tech,2025,"SQL, Java, Excel",Power BI,1,0,0,Internship,3.55,12000,5,1,1,1,1
